firstname,lastname,apg,asts,gp
Magic,Johnson,11.193156732891833,10141,906
John,Stockton,10.509308510638299,15806,1504
Oscar,Robertson,9.506730769230769,9887,1040
Jason,Kidd,9.26590330788804,7283,786
Isiah,Thomas,9.255362614913176,9061,979
Kevin,Johnson,9.130612244897959,6711,735
Norm,Nixon,8.315104166666666,6386,768
Stephon,Marbury,8.267669172932331,5498,665
Tim,Hardaway,8.183391003460208,7095,867
Kevin,Porter,8.063732928679817,5314,659
Mark,Jackson,7.965277777777778,10323,1296
Guy,Rodgers,7.754484304932736,6917,892
Muggsy,Bogues,7.565804274465692,6726,889
Bob,Cousy,7.5270562770562774,6955,924
Johnny,Moore,7.434615384615385,3866,520
