firstname,lastname,rpg,reb,gp
Wilt,Chamberlain,22.89377990430622,23924,1045
Bill,Russell,22.45067497403946,21620,963
Maurice,Stokes,17.287128712871286,3492,202
Artis,Gilmore,17.06904761904762,7169,420
Bob,Pettit,16.223484848484848,12849,792
Jerry,Lucas,15.61158021712907,12942,829
Mel,Daniels,15.117834394904458,9494,628
Nate,Thurmond,15.004149377593361,14464,964
Wes,Unseld,13.992886178861788,13769,984
Walt,Bellamy,13.653883029721955,14241,1043
Dave,Cowens,13.634464751958225,10444,766
Elgin,Baylor,13.549645390070921,11463,846
Marvin,Barnes,13.381944444444445,1927,144
Dennis,Rodman,13.1218441273326,11954,911
Caldwell,Jones,13.082251082251082,3022,231
